Id,Text,BeginTime,EndTime,Confidence,SpeakerConfidence,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Contemplation,Confusion,Contempt,Contentment,Craving,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Desire,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph
robot,Hello. I am Baxter. Welcome to my lab. I hope you are having a good day.Today I have a task to put objects on the shelf on my left. The objects are in different boxes. Please help me by taking the objects from the box and placing them on the table. Should we start?,16.56124,34.49495,,,0.033845193684101100,0.02437390573322770,0.019723501056432700,0.04102996364235880,0.05020011216402050,0.0533134825527668,0.021324941888451600,0.052002158015966400,0.08085378259420400,0.22742490470409400,0.060847293585538900,0.043651364743709600,0.047806717455387100,0.031523339450359300,0.06984337419271470,0.01214834675192830,0.09063807129859920,0.0654856264591217,0.027382364496588700,0.05738002806901930,0.038607846945524200,0.012649509124457800,0.016520895063877100,0.027761567384004600,0.0206143856048584,0.01352616772055630,0.055771566927433000,0.04573242738842960,0.021030593663454100,0.020306743681430800,0.09018068015575410,0.061415646225214000,0.035735905170440700,0.009956571273505690,0.03751620277762410,0.031146585941314700,0.06487344950437550,0.037550415843725200,0.013620555400848400,0.0674683153629303,0.0734059140086174,0.01923544332385060,0.019541343674063700,0.044074732810258900,0.03327571600675580,0.040639057755470300,0.06740205734968190,0.020732566714286800
participant,Sure.,35.610912,35.929756,0.97998047,0.13671875,0.01816652901470660,0.016255035996437100,0.015558297745883500,0.05246206745505330,0.06623095273971560,0.05896976217627530,0.02782823145389560,0.04657459259033200,0.059822551906108900,0.10629013925790800,0.03871835768222810,0.020337214693427100,0.06234712526202200,0.03501440957188610,0.035212405025959000,0.013063843362033400,0.09391771256923680,0.0834224596619606,0.03293204307556150,0.06948795914649960,0.0539495088160038,0.015419287607073800,0.02185090258717540,0.03244604542851450,0.02151668630540370,0.01921086758375170,0.064524345099926,0.05515724793076520,0.028101585805416100,0.028212357312440900,0.08425504714250570,0.044050417840480800,0.01978113502264020,0.009864773601293560,0.05012758448719980,0.02346901036798950,0.08512035012245180,0.04697253182530400,0.01653725653886800,0.08722303062677380,0.046536996960640000,0.024070966988802000,0.027529411017894700,0.061093565076589600,0.042054854333400700,0.019150374457240100,0.049777787178754800,0.024330617859959600
robot/participant,Please place new set of objects on the table. Okay. Are you done placing the objects? Yes.,38.400814,65.92704,,,0.01547139324247840,0.01272625382989650,0.01289618294686080,0.04587225243449210,0.06563353538513180,0.06267949938774110,0.019866112619638400,0.07103533297777180,0.062351856380701100,0.10126115381717700,0.03703850507736210,0.03034093603491780,0.08830592781305310,0.04283460974693300,0.025195440277457200,0.016284767538309100,0.08103903383016590,0.08705854415893560,0.03796836733818050,0.06487616151571270,0.06255058944225310,0.012284083291888200,0.02623698301613330,0.025204118341207500,0.017055198550224300,0.01735665835440160,0.05070645734667780,0.049347344785928700,0.02439918927848340,0.0250635277479887,0.0631440281867981,0.03301229327917100,0.01567911170423030,0.008810543455183510,0.04422358050942420,0.017885467037558600,0.07478920370340350,0.02753785438835620,0.015487495809793500,0.06814504414796830,0.03157082572579380,0.02601548656821250,0.023054756224155400,0.06415761262178420,0.033725470304489100,0.01757574826478960,0.0451347753405571,0.01575816050171850
participant,Yes. I'm done. I'm done placing the objects on the table.,71.534035,79.214905,,,0.01849290169775490,0.01599675603210930,0.015795214101672200,0.055872343480587000,0.06866608560085300,0.058212995529174800,0.028322650119662300,0.042198583483696000,0.05514559522271160,0.106943279504776,0.04853871837258340,0.022903861477971100,0.05270286649465560,0.03463565930724140,0.03995245695114140,0.01266669761389490,0.13271157443523400,0.08117462694644930,0.034823328256607100,0.06699755042791370,0.04748494178056720,0.020777147263288500,0.020488495007157300,0.02951742522418500,0.020849544554948800,0.016742562875151600,0.09129352867603300,0.0517166331410408,0.025808027014136300,0.02599639818072320,0.08321116119623180,0.054811835289001500,0.019057106226682700,0.010303184390068100,0.04573102295398710,0.03587852045893670,0.09156285226345060,0.04571864381432530,0.015274892561137700,0.07948374003171920,0.06252523511648180,0.021721426397562000,0.02556028589606290,0.05812029540538790,0.047428566962480500,0.015635812655091300,0.046882424503564800,0.04671209305524830
robot,Did not understand your answer. Are you done placing the objects?,84.099205,87.454735,0.99258703,,0.017330680042505300,0.016040463000536000,0.014740963466465500,0.04915878176689150,0.07763244211673740,0.06379875540733340,0.026662643998861300,0.04670755937695500,0.05349620059132580,0.10442136973142600,0.040328510105609900,0.02347300387918950,0.07835831493139270,0.0411594919860363,0.02769199013710020,0.012831663712859200,0.1057150661945340,0.08764705806970600,0.04098087549209600,0.07426879554986950,0.06687688827514650,0.014374839141964900,0.021398568525910400,0.03243478387594220,0.021598322317004200,0.01721089519560340,0.06001207232475280,0.056862715631723400,0.027020759880542800,0.028996020555496200,0.07497870922088620,0.041079774498939500,0.019408980384469000,0.009692729450762270,0.049784060567617400,0.02097722887992860,0.08353811502456670,0.03999396786093710,0.016409916803240800,0.08696872740983960,0.04178091511130330,0.023813903331756600,0.027238084003329300,0.06355078518390660,0.03922288119792940,0.01739194057881830,0.048049330711364700,0.0206169281154871
participant,Yes. I have.,88.173775,88.97271,0.8465169,,0.01870671845972540,0.016609234735369700,0.015562121756374800,0.04749611020088200,0.06797952950000760,0.05918026715517040,0.027574734762311000,0.04388135299086570,0.058673400431871400,0.11038505285978300,0.04013446718454360,0.02191450260579590,0.05527135357260700,0.03657889738678930,0.04062928631901740,0.012984056025743500,0.10905425995588300,0.08618005365133290,0.03384397551417350,0.06950873881578450,0.048927079886198000,0.01593315228819850,0.023298494517803200,0.03264422342181210,0.021635552868247000,0.01804293319582940,0.06426756083965300,0.05498572066426280,0.029971787706017500,0.028126945719122900,0.0751245841383934,0.04555221274495130,0.02001144178211690,0.012223855592310400,0.05117318406701090,0.031212911009788500,0.10437099635601000,0.04789026826620100,0.016467634588480000,0.09167901426553730,0.06151727959513660,0.023856274783611300,0.02969040349125860,0.05983816832304000,0.04020896181464200,0.017928557470440900,0.051062360405921900,0.03424076363444330
robot,Let's start placing objects on the shelf. Going for object A. Going for object B.,91.30396,137.49016,,,0.01758723147213460,0.011358287185430500,0.011418335139751400,0.03855825215578080,0.05259682610630990,0.052912984043359800,0.020211949944496200,0.02904374524950980,0.1022590920329090,0.1406053900718690,0.07495421916246410,0.039968978613615000,0.039744436740875200,0.033071938902139700,0.02413664013147350,0.012430556118488300,0.1377553641796110,0.06297867745161060,0.028447359800338700,0.04963788762688640,0.03343205899000170,0.015047192573547400,0.019160401076078400,0.016747141256928400,0.015405148267746000,0.013723345473408700,0.07331037521362310,0.045544590801000600,0.018015485256910300,0.026130620390176800,0.04812396317720410,0.0324038490653038,0.012260151095688300,0.01228934247046710,0.03995686396956440,0.02083301730453970,0.06737862527370450,0.023724118247628200,0.014522000215947600,0.05190498009324070,0.03229706361889840,0.014748722314834600,0.015582717023789900,0.04014889523386960,0.02667989768087860,0.010605379939079300,0.050252653658390000,0.019406743347644800
robot,I can't pick up the object.,151.93527,153.3694,0.9496257,,0.01680968888103960,0.015896709635853800,0.014707929454743900,0.04509233310818670,0.0795830562710762,0.06840021908283230,0.02639928087592130,0.043554965406656300,0.06501083076000210,0.10023573786020300,0.034712377935648000,0.019554706290364300,0.0576026551425457,0.041106365621089900,0.02777164615690710,0.01295841857790950,0.0884440541267395,0.10864552110433600,0.038430675864219700,0.08363325148820880,0.04959617927670480,0.01443157996982340,0.022833295166492500,0.03307788819074630,0.021166739985346800,0.017205659300088900,0.05966342240571980,0.060003090649843200,0.030528483912348700,0.030300498008728000,0.07192599028348920,0.041161809116601900,0.01940988376736640,0.009754371829330920,0.055077921599149700,0.02039192058146,0.08533137291669850,0.040660593658685700,0.01627095602452760,0.09900715202093120,0.04114767909049990,0.023705363273620600,0.0311533622443676,0.06444238126277920,0.03632769361138340,0.01649485155940060,0.05766177549958230,0.020321110263466800
robot,Hand it to me.,164.3976,165.19666,0.8590088,,0.020650610327720600,0.01961050182580950,0.016749069094657900,0.0488923043012619,0.07227959483861920,0.06165354698896410,0.030099615454673800,0.04468882456421850,0.06007378548383710,0.10840859264135400,0.03660948574543000,0.01963662914931770,0.056759726256132100,0.036119718104600900,0.04013507813215260,0.013753398321569000,0.09908947348594670,0.0810457244515419,0.033270686864852900,0.07123016566038130,0.04712284728884700,0.019013909623026800,0.02133038453757760,0.03207441419363020,0.02654232457280160,0.017872542142868000,0.06613191217184070,0.05878525227308270,0.027148012071847900,0.029238950461149200,0.07749570161104200,0.04707866907119750,0.025327909737825400,0.011804481036961100,0.05147373303771020,0.03379324451088910,0.08399470895528790,0.04980703443288800,0.022587470710277600,0.0881374403834343,0.05386415868997570,0.032296281307935700,0.02786545269191270,0.06059049069881440,0.04111064597964290,0.01614627055823800,0.05011500045657160,0.028584443032741500
participant,There you go.,169.83832,170.3963,0.8543294,,0.01825362630188470,0.016558939591050100,0.01541457511484620,0.05341405048966410,0.06461931765079500,0.05918695405125620,0.029353579506278000,0.0419573076069355,0.053795892745256400,0.10339410603046400,0.035415973514318500,0.018367834389209700,0.05902542918920520,0.031850531697273300,0.03218168392777440,0.012896107509732200,0.09139984101057050,0.07988618314266210,0.03211382403969770,0.06873495876789090,0.04740229621529580,0.015909913927316700,0.02010045200586320,0.031851183623075500,0.022061726078391100,0.01701200008392330,0.07230427116155620,0.05562667176127430,0.026576930657029200,0.028458841145038600,0.09227640181779860,0.04515725374221800,0.019745999947190300,0.01016854215413330,0.04962536320090290,0.021218519657850300,0.08234427124261860,0.04989807307720180,0.01644919626414780,0.0866532027721405,0.04764413833618160,0.023712581023573900,0.026482809334993400,0.0609637051820755,0.05061196908354760,0.016153348609805100,0.04804126173257830,0.02580590546131130
